职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
教师,3-4K,大专,经验不限,河北众诚精英教育咨询,石家庄,人力资源服务,20-99人,,,,38.03524,114.785454,年龄95年之前,[],月薪,3500.0
初高中化学教师,7-12K,学历不限,1-3年,赞一教育,石家庄,培训/辅导机构,20-99人,未融资,新华区,石家庄北站,38.068771,114.453885,全职 培训机构 线下教育 坐班 教师 教研 一对一教学 小班教学（3-25人） 毕业班经验 教育工作经验 教师资格证 初中生 高中生 初中 高中,"['全勤奖', '年终奖', '带薪年假', '住房补贴']",月薪,9500.0
初/高中各科目老师,10-15K,本科,1-3年,耀图教育,石家庄,培训/辅导机构,100-499人,未融资,,,38.094357,114.650084,普通话发音标准 大型教育机构经验 培训机构 线下教育 坐班 小班教学（3-25人） 中学生 学科应试类 语文 英语 数学 历史 政治,"['生日福利', '交通补助', '节日福利', '员工旅游', '带薪年假', '定期体检', '宿舍有空调', '包住', '有无线网', '全勤奖', '底薪加提成', '企业年金', '节假日加班费', '五险一金', '通讯补贴', '补充医疗保险', '绩效奖金']",月薪,12500.0
高保底 高提成 市场养生老师,10-15K,中专/中技,1-3年,和行天下美业,石家庄,美容/美发,20-99人,未融资,新华区,新华路,38.049067,114.476925,1-3年美容师经验,"['带薪年假', '全勤奖', '定期体检', '绩效奖金', '团建聚餐', '员工旅游', '生日福利', '年终奖', '交通补助', '五险一金']",月薪,12500.0
少儿英语老师（Local Teacher）,7-10K,本科,1-3年,EF沈阳英孚,沈阳,培训/辅导机构,100-499人,不需要融资,和平区,集贤,41.784033,123.40901,小学教育 教师 培训师 外教 教师资格证 TEM-8 海外经验,"['五险一金', '节日福利', '年终奖', '全勤奖', '通讯补贴', '员工旅游', '餐补']",月薪,8500.0
语文老师,6-10K,本科,1-3年,灵寿周周教育培训,石家庄,培训/辅导机构,0-20人,,灵寿县,北环,38.315486,114.377589,培训机构 线下教育 不坐班 教学管理 小班教学（3-25人） 教育工作经验,[],月薪,8000.0
招生老师,3-8K,大专,3-5年,石家庄曦城企业管...,石家庄,其他行业,0-20人,未融资,,,38.163259,114.604552,私立学校 中学生 培训机构 有销售经验 线下教育 有教育工作经验 有大型教育机构经验 普通话发音标准 营销相关专业 成人/通用,"['交通补助', '保底工资', '通讯补贴', '节日福利', '加班补助', '工龄奖', '全勤奖', '绩效奖金', '生日福利', '底薪加提成', '年终奖']",月薪,5500.0
初中英语教师,15-20K,本科,1-3年,大桥教育,石家庄,培训/辅导机构,1000-9999人,不需要融资,新华区,新华路,38.055515,114.486718,教师 初二 初三 小班教学（3-25人） 培训机构 初一 线下教育 二级甲等 英语发音标准 初中教育工作经验 初中教师资格证 普通话水平测试等级证书 坐班 教学法研发与培训 教研 纯英文授课,"['员工旅游', '带薪年假', '带薪寒暑假', '五险一金']",月薪,17500.0
长期班二讲老师,9-13K,本科,经验不限,名师天团,石家庄,培训/辅导机构,1000-9999人,B轮,桥西区,西美花街,37.995966,114.459858,培训机构 线上教育,"['交通补助', '团建聚餐', '节日福利', '有无线网', '带薪年假', '底薪加提成', '五险一金']",月薪,11000.0
高中教师,5-8K,本科,经验不限,隽山教育,石家庄,学校/学历教育,100-499人,未融资,,,38.264025,114.742162,私立学校,"['包住', '团建聚餐', '餐补', '底薪加提成', '交通补助', '宿舍有空调', '全勤奖', '包吃', '年终奖', '生日福利', '企业年金', '带薪年假', '绩效奖金', '保底工资', '有无线网', '节日福利', '员工旅游', '五险一金']",月薪,6500.0
高中教师,6-7K,本科,1-3年,教联高级职业中学,石家庄,学校/学历教育,100-499人,,鹿泉区,上庄镇,38.019684,114.379228,私立学校 线下教育 教师 教学管理 教研 大班教学（25人以上） 重点高中一线教师经验 毕业班经验 高中教育工作经验 高中教师资格证 高一 高二 高三 坐班,['五险一金'],月薪,6500.0
英语语文老师,4-7K,本科,经验不限,河北次第商贸有限公司,石家庄,其他生活服务,0-20人,,桥西区,振头,38.020166,114.449208,全职 培训机构 线下教育 坐班 教师 一对一教学 小班教学（3-25人） 心理学专业背景 教育工作经验,[],月薪,5500.0
语文教师,5-6K,本科,1-3年,锐翀教育,石家庄,在线教育,20-99人,不需要融资,,,38.005302,114.553658,小学教育 初中教育 全职 兼职,['五险一金'],月薪,5500.0
省直西苑小学宝乐园校区全职托管老师,3-4K,大专,5-10年,新华区宝乐园校外...,石家庄,其他专业服务,20-99人,,新华区,联盟,38.058285,114.451791,小学教育 线下授课 教师资格证(小学) 教师资格证(初中) 全职 语文 数学 英语,[],月薪,3500.0
见习教师岗,5-7K,大专,经验不限,吉安市理工技工学校,吉安,学校/学历教育,20-99人,,,,27.164983,115.034787,私立学校 中学生 可兼职 职业与技能培训类,[],月薪,6000.0
小学数学老师,8-13K,本科,在校/应届,好未来,石家庄,互联网,10000人以上,已上市,新华区,新华路,38.0482,114.479011,无,"['定期体检', '五险一金', '补充医疗保险', '餐补', '带薪年假', '年终奖', '健身房', '团建聚餐', '不定期培训', '节日福利']",月薪,10500.0
高中数学教师,6-10K,本科,3-5年,石家庄精英新华中学,石家庄,学校/学历教育,100-499人,不需要融资,鹿泉区,红旗,37.972037,114.41719,教师 高二 线下教育 二级甲等 重点高中一线教师经验 全职 高中教育工作经验 普通话水平测试等级证书 私立学校 二级教师 坐班 数学 高一 大班教学（25人以上） 高中教师资格证,"['定期体检', '意外险', '五险一金']",月薪,8000.0
高中学科老师,5-6K,本科,3-5年,金榜艺佰,石家庄,培训/辅导机构,20-99人,未融资,桥西区,维明,38.022368,114.451926,高三 教师 小班教学（3-25人） 培训机构 线下教育 二级甲等 复读生 高中教育工作经验 普通话水平测试等级证书 班主任 大型教育机构经验 毕业班经验 坐班 教研 不坐班 可兼职 高中教师资格证,"['底薪加提成', '包吃', '通讯补贴', '补充医疗保险', '免费工装', '宿舍有空调', '包住', '餐补', '全勤奖', '住房补贴', '员工旅游', '保底工资', '团建聚餐', '带薪年假', '工龄奖', '生日福利', '绩效奖金', '节日福利', '五险一金']",月薪,5500.0
小学教育教师,6-8K,本科,经验不限,好老师专接本河北分校,石家庄,培训/辅导机构,500-999人,不需要融资,桥西区,西美花街,37.993622,114.460633,教研,"['五险', '定期体检', '节日福利', '带薪年假']",月薪,7000.0
初中各科老师,4-5K,本科,1-3年,爱之呵护,石家庄,培训/辅导机构,0-20人,,桥西区,西里,38.028669,114.428789,全职 兼职,[],月薪,4500.0
数学老师,8-13K,本科,1-3年,学大教育,石家庄,培训/辅导机构,100-499人,未融资,长安区,谈固,38.04426,114.560325,教师 理科 数学,"['生日福利', '绩效奖金', '团建聚餐', '节日福利', '保底工资', '零食下午茶', '年终奖', '五险一金']",月薪,10500.0
高中各科老师,4-8K,本科,3-5年,石家庄市任重博文...,石家庄,培训/辅导机构,20-99人,,,,37.957897,114.517666,无,"['包吃', '宿舍有空调', '免费工装', '有无线网', '生日福利', '包住']",月薪,6000.0
幼小衔接数学老师,3-6K,大专,1-3年,宝睿教育集团,石家庄,学校/学历教育,500-999人,不需要融资,裕华区,谈固,38.015131,114.517149,私立学校 线下教育,"['包吃包住', '带薪年假', '定期体检', '全勤奖', '节日福利', '住房补贴', '员工旅游', '五险']",月薪,4500.0
全职物理、数学老师（高薪、五险）,10-15K,本科,1-3年,妙思教育,石家庄,其他生活服务,100-499人,未融资,桥西区,维明,38.034343,114.449608,学科相关专业背景 教育工作经验,"['通讯补贴', '工龄奖', '零食下午茶', '员工旅游', '底薪加提成', '节日福利', '保底工资', '全勤奖', '带薪年假', '五险一金', '绩效奖金', '年终奖']",月薪,12500.0
兼职数学老师,5-10K,本科,经验不限,爱德克森教育,石家庄,互联网,20-99人,未融资,裕华区,长江大道,38.050427,114.616288,教师 教育学专业背景 大型教育机构经验 教育工作经验 小班教学（3-25人） 培训机构 线下教育 不坐班,"['五险一金', '免费宿舍', '带薪培训', '员工旅游', '年终奖', '节日福利', '带薪年假', '住房补贴', '零食下午茶', '定期体检', '全勤奖']",月薪,7500.0
体育老师,5-6K,本科,1-3年,宏沃谦,石家庄,学校/学历教育,20-99人,,栾城区,开发区,37.985334,114.61069,体育教育工作经验,[],月薪,5500.0
