职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
UI设计师,5-6K,大专,1-3年,五盾商贸,石家庄,批发/零售,20-99人,,桥西区,西王客运站,38.051739,114.409179,交互体验设计 小程序 移动端 PC端 PhotoShop AI SKetch Dreamweaver,[],月薪,5500.0
UI - 北京,16-18K,本科,5-10年,众星汇创,北京,通信/网络设备,20-99人,,海淀区,苏州桥,39.978634,116.308056,有UI设计经验/技能 AI 5年以上UI设计经验 交互设计经验 五险一金 周末双休 现场办公,[],月薪,17000.0
UI设计师+双休+五险一金,8-12K,本科,5-10年,北京知行有数科技,石家庄,计算机软件,20-99人,未融资,裕华区,谈固,38.02222,114.567028,交互设计 客户端 网页端 界面设计 图标设计 Figma C4d,"['员工旅游', '节日福利', '绩效奖金', '团建聚餐', '保底工资', '有无线网', '底薪加提成', '通讯补贴', '生日福利', '五险一金']",月薪,10000.0
UI/UX设计师(001338),12-20K,本科,1-3年,寻汇SUNRATE,上海,企业服务,500-999人,D轮及以上,浦东新区,塘桥,31.217769,121.530729,有UI设计经验/技能 Figma 1-3年UI设计经验 交互设计经验 甲方公司 五险一金 周末双休 现场办公,"['带薪年假', '五险一金', '员工旅游', '年终奖', '零食下午茶', '团建聚餐']",月薪,16000.0
UI 设计师,15-30K,本科,3-5年,北京懒宅日记,北京,互联网,0-20人,天使轮,朝阳区,望京,39.989022,116.483305,五险一金 现场办公 交互设计经验 Figma 3-5年UI设计经验 周末双休 5年以上UI设计经验 有UI设计经验/技能 甲方公司,"['餐补', '团建聚餐', '交通补助', '五险一金', '加班补助', '带薪年假']",月薪,22500.0
网站 UI 设计师,5-8K,本科,经验不限,安途生,南京,进出口贸易,0-20人,天使轮,建邺区,江东,31.987463,118.716059,视觉设计 移动端 网页端 图标设计 切图和标注 界面设计 PS 不接受居家办公,"['五险一金', '定期体检', '加班补助', '节假日加班费', '绩效奖金', '保底工资', '夜班补助', '股票期权']",月薪,6500.0
美工/ui设计师,4-7K,本科,经验不限,石家庄正则科技信息,石家庄,计算机软件,0-20人,,裕华区,开发区,38.044252,114.61469,交互设计 原型设计 视觉设计 界面设计 PS AE 不接受居家办公,[],月薪,5500.0
ui/ue设计师,6-8K,大专,1-3年,浩海数据,厦门,计算机软件,20-99人,,思明区,莲前,24.481322,118.184767,现场办公 视觉设计 原型设计 周末双休 交互设计 有UI设计经验/技能,[],月薪,7000.0
AI Native UI 体验设计（偏交互）,20-40K,本科,3-5年,智谱华章,北京,互联网,100-499人,不需要融资,海淀区,学院路,39.993716,116.332112,有UI设计经验/技能 五险一金 周末双休 现场办公 3-5年UI设计经验 交互设计经验,"['餐补', '团建聚餐', '股票期权', '年终奖', '包吃', '生日福利', '节日福利', '定期团建', '免费工装', '五险一金', '带薪年假', '零食下午茶', '补充医疗保险', '定期体检']",月薪,30000.0
UI/UX设计师,7-12K,大专,1-3年,青鸟林文化,深圳,企业服务,0-20人,未融资,宝安区,西乡,22.572813,113.891312,有UI设计经验/技能 PS AI Sketch AE Figma 1-3年UI设计经验 交互设计经验 动效设计经验 3D设计经验 AIGC设计经验 数据分析能力 甲方公司 五险 大小周 现场办公,[],月薪,9500.0
软件ui设计工程师,4-6K,大专,3-5年,金元软件,石家庄,物联网,20-99人,不需要融资,,,38.198232,114.250596,包住 交互设计经验 PS 餐补 AI 1-3年UI设计经验 其他 动效设计经验 带薪假期 年终奖 现场办公 Figma 3D设计经验 大小周 有UI设计经验/技能 Axure 甲方公司 五险,"['定期体检', '保底工资', '绩效奖金', '意外险', '工龄奖', '年终奖', '五险一金']",月薪,5000.0
ui视觉设计师,5-10K,大专,3-5年,正诺信息,石家庄,计算机软件,20-99人,未融资,,,38.001617,114.487037,有UI设计经验/技能 五险 周末双休 现场办公 PS AI 3-5年UI设计经验 交互设计经验 电商行业经验 数据分析能力 动效设计经验 剪辑经验,['五险'],月薪,7500.0
UI 交互设计总监（手机）,30-60K,本科,5-10年,某大型通信信息上市公司,上海,互联网,10000人以上,已上市,,,31.22092,121.6164,交互设计 移动端 平面设计 界面设计 图标设计 切图和标注 AI PS Sketch Figma AI语音 AIGC AI图像处理 智能推荐,"['加班补助', '年终奖', '零食下午茶', '通讯补贴', '节日福利', '补充医疗保险', '五险一金', '免费班车', '带薪年假', '员工旅游', '餐补', '股票期权', '定期体检', '交通补助']",月薪,45000.0
ui设计师,4-6K,大专,3-5年,真源,石家庄,移动互联网,0-20人,未融资,桥西区,新火车站,38.000271,114.488791,交互设计 视觉设计 移动端 平面设计 界面设计 AI PS,['住房补贴'],月薪,5000.0
UI 设计师,9-14K,本科,1-3年,赛博爱思,深圳,企业服务,20-99人,A轮,宝安区,西乡,22.572236,113.852458,现场办公 五险一金 Figma 周末双休 接受无相关经验/技能 甲方公司,"['团建聚餐', '五险一金', '定期体检', '午休2小时', '生日福利', '员工旅游', '股票期权', '零食下午茶', '节日福利', '年终奖', '绩效奖金', '带薪年假', '弹性打卡']",月薪,11500.0
游戏ui设计,3-6K,大专,1-3年,石家庄动想信息科技,石家庄,游戏,0-20人,,裕华区,天山海世界,38.037968,114.602891,无,"['定期体检', '生日福利', '全勤奖', '五险一金', '团建聚餐', '零食下午茶']",月薪,4500.0
UI/UX 产品设计师,8-12K,本科,1-3年,上海南庐科技有限公司,西安,其他金融业,100-499人,A轮,未央区,凤城一路,34.321173,108.970937,有UI设计经验/技能 甲方公司 五险一金 带薪假期 周末双休 现场办公 1-3年UI设计经验 交互设计经验 AIGC设计经验 数据分析能力 C4D Figma U3D UE4,"['绩效奖金', '补充医疗保险', '五险一金', '年终奖', '定期体检']",月薪,10000.0
UI/UE,10-13K,大专,5-10年,秦皇岛欧森科技,北京,计算机软件,0-20人,,海淀区,上地,40.048055,116.281166,有UI设计经验/技能 甲方公司 现场办公 3-5年UI设计经验 Xd,[],月薪,11500.0
UI 设计师,10-15K,本科,3-5年,广州抚纯纺织有限公司,广州,电子商务,100-499人,未融资,白云区,太和,23.266608,113.36007,有UI设计经验/技能 甲方公司 五险 带薪假期 餐补 周末单休 现场办公 PS AI CDR 3-5年UI设计经验 交互设计经验 电商行业经验,"['团建聚餐', '生日福利', '加班补助', '包吃']",月薪,12500.0
UI/UX Designer,25-30K,本科,1-3年,某大型计算机软件公司,上海,计算机软件,100-499人,C轮,,,31.230394,121.460887,有UI设计经验/技能 甲方公司 五险一金 带薪假期 现场办公 Figma 1-3年UI设计经验 交互设计经验,[],月薪,27500.0
UI/UX/3D设计,17-25K,本科,1-3年,中科创达,成都,计算机软件,10000人以上,已上市,双流区,华阳,30.511624,104.085772,五险一金 现场办公 交互设计经验 Figma 3-5年UI设计经验 周末双休 HMI 3D设计经验 Sketch 有UI设计经验/技能,"['住房补贴', '定期体检', '交通补助', '全勤奖', '股票期权', '员工旅游', '餐补', '年终奖', '带薪年假', '加班补助', '五险一金', '节日福利']",月薪,21000.0
UI设计,4-9K,学历不限,经验不限,飞主流科技,石家庄,互联网,20-99人,未融资,新华区,太和电子城,38.044141,114.486614,网页设计 移动端 PC端 PhotoShop AE软件 UI设计 动效设计 Android,"['员工旅游', '定期体检', '年终奖', '通讯补贴', '加班补助', '五险一金', '节日福利', '带薪年假', '全勤奖']",月薪,6500.0
UI设计师,4-8K,学历不限,1-3年,怀光科技,石家庄,计算机软件,20-99人,未融资,裕华区,谈固,38.0219,114.5572,App设计 UI 交互,[],月薪,6000.0
高薪诚聘UI设计师,5-10K,本科,5-10年,先河软件,石家庄,计算机软件,20-99人,未融资,裕华区,谈固,38.035211,114.527307,交互设计 原型设计 视觉设计 客户端 移动端 网页端 平面设计 动效设计 图标设计 切图和标注 界面设计 Axure PS AE,"['加班补助', '节假日加班费', '带薪年假', '法定节假日三薪', '节日福利', '全勤奖', '年终奖']",月薪,7500.0
UI 设计师,7-10K,本科,1-3年,联和控股集团,厦门,医疗健康,100-499人,未融资,翔安区,马巷,24.632775,118.208875,五险一金 现场办公 交互设计经验 周末双休 剪辑经验 1-3年UI设计经验 有UI设计经验/技能 甲方公司 电商行业经验,['五险一金'],月薪,8500.0
UI/UE用户体验设计师,10-15K,本科,3-5年,北京宇天恒瑞科技...,保定,智能硬件,100-499人,未融资,容城县,雄安新区,39.034872,115.89492,有UI设计经验/技能 五险一金 带薪假期 周末双休 现场办公 3-5年UI设计经验 交互设计经验 UX测试开发工程师 UI/UE,"['意外险', '五险一金', '带薪年假']",月薪,12500.0
UI设计,5-10K,大专,3-5年,石家庄九紫朗熹科技,石家庄,互联网,0-20人,不需要融资,长安区,省博物馆,38.051117,114.521363,有UI设计经验/技能 PS AI AE U3D UE4 3-5年UI设计经验 交互设计经验 动效设计经验 3D设计经验 游戏行业经验 擅长手绘 甲方公司 五险 带薪假期 其他 大小周 现场办公,"['生日福利', '节日福利', '工龄奖', '五险一金', '团建聚餐', '零食下午茶', '绩效奖金', '员工旅游', '有无线网', '保底工资']",月薪,7500.0
"UI 
设计师",8-11K,本科,1-3年,佰福激光技术有限公司,南京,医疗器械,100-499人,A轮,栖霞区,尧化,32.157334,118.87313,有UI设计经验/技能 PS AI 1-3年UI设计经验 3D设计经验 甲方公司 五险一金 周末双休 现场办公,"['年终奖', '五险一金', '全勤奖', '餐补']",月薪,9500.0
JDUIX25A- UI/UX 设计师,6-11K,本科,1-3年,光启未来数字科技,滁州,互联网,0-20人,天使轮,琅琊区,中新苏滁高新区,32.356512,118.340236,有UI设计经验/技能 甲方公司 五险一金 周末双休 现场办公 远程办公 Sketch Figma Xd 3-5年UI设计经验 1-3年UI设计经验 交互设计经验 数据分析能力,"['员工旅游', '五险一金', '工龄奖', '底薪加提成', '定期体检', '全勤奖', '股票期权', '加班补助', '节假日加班费', '意外险', '法定节假日三薪', '带薪年假', '保底工资', '绩效奖金', '夜班补助', '补充医疗保险', '年终奖']",月薪,8500.0
UI UX设计师,9-13K,大专,3-5年,博可派,深圳,互联网,0-20人,未融资,龙华区,龙华,22.643158,114.0193,有UI设计经验/技能 甲方公司 五险一金 周末双休 现场办公 3-5年UI设计经验 交互设计经验 动效设计经验 Sketch UE4,"['生日福利', '节日福利', '保底工资', '绩效奖金', '零食下午茶', '五险一金', '底薪加提成', '有无线网']",月薪,11000.0
UI/UX设计师,17-20K,本科,5-10年,法本,北京,计算机软件,10000人以上,已上市,顺义区,马坡,40.168267,116.574925,有UI设计经验/技能 五险一金 5年以上UI设计经验 周末双休 现场办公 工具类 商业化,"['带薪年假', '零食下午茶', '五险一金', '节日福利', '企业文化']",月薪,18500.0
ui设计师,5-8K,大专,1-3年,河北摩拓为数字创...,石家庄,广告/公关/会展,20-99人,不需要融资,,,38.169244,114.605718,交互设计 原型设计 视觉设计 客户端 移动端 网页端 三维设计 动效设计 平面设计 图标设计 切图和标注 界面设计 AI AE Sketch,"['五险一金', '年终奖', '意外险']",月薪,6500.0
UI设计师,7-8K,本科,1年以内,众合电子商务,石家庄,电子商务,20-99人,未融资,裕华区,谈固,38.022188,114.555446,UI 移动交互 网店设计,"['五险一金', '餐补', '交通补助', '定期体检', '加班补助', '带薪年假', '年终奖', '员工旅游', '节日福利', '住房补贴', '全勤奖', '通讯补贴', '股票期权', '补充医疗保险', '零食下午茶']",月薪,7500.0
UI设计,5-7K,大专,经验不限,河北安网,石家庄,互联网,20-99人,,新华区,联盟,38.058993,114.508988,视觉设计 网页端,[],月薪,6000.0
UI/UX设计师,10-15K,本科,3-5年,广东智帆海洋科技,广州,计算机软件,100-499人,未融资,,,22.746854,113.600257,有UI设计经验/技能 五险一金 Figma Sketch Axure 3-5年UI设计经验 交互设计经验 周末双休 甲方公司 现场办公 GIS 大数据可视化 数据中台,"['带薪假期', '五险一金']",月薪,12500.0
文峰招人事专员,3-7K,高中,1-3年,湖北通达胜贸易,随州,互联网,20-99人,,曾都区,解放路,31.705068,113.386532,不接受居家办公,[],月薪,5000.0
人事专员hr,4-8K,大专,经验不限,成都炎烁互娱有限公司,成都,游戏,100-499人,未融资,成华区,龙潭,30.701885,104.164439,不接受居家办公 节假日福利 零食下午茶 招聘与配置,"['宿舍有空调', '零食下午茶', '包住', '住房补贴', '全勤奖', '节日福利', '绩效奖金', '底薪加提成', '团建聚餐', '有无线网', '年终奖']",月薪,6000.0
高薪诚招人事招聘专员,5-8K,本科,经验不限,京北方,大庆,互联网金融,10000人以上,已上市,龙凤区,联想科技城,46.580389,125.158369,公司人力资源部门,"['五险一金', '餐补', '包吃', '保底工资', '员工旅游', '带薪年假', '年终奖', '生日福利', '交通补助', '节日福利', '宿舍有空调', '全勤奖', '绩效奖金', '工龄奖', '团建聚餐']",月薪,6500.0
hr专员(人事行政),3-8K,大专,1年以内,瑾晨传媒,南充,社交网络与媒体,500-999人,未融资,顺庆区,富春花园,30.797863,106.069287,行政 培训实施 餐饮/酒店 精通人力相关法规政策 招聘与配置 互联网从业经验 人事 大中型企业从业 从0到1团队搭建经验 人力/财务/行政/法务 人事档案管理 制度制定及落地优化 市场/传媒/公关 企业文化建设 人力资源/管理类专业,"['餐补', '团建聚餐', '零食下午茶', '宿舍有空调', '交通补助', '年终奖', '生日福利', '保底工资', '通讯补贴', '节日福利', '住房补贴', '绩效奖金', '包住', '底薪加提成', '员工旅游', '带薪年假']",月薪,5500.0
初创公司诚 招人事 无责3200,3-8K,高中,经验不限,重庆兴方智网络科技,重庆,通信/网络设备,20-99人,,九龙坡区,杨家坪,29.510242,106.517611,不接受居家办公 人力/财务/行政/法务,"['带薪年假', '年终奖']",月薪,5500.0
招人事（接受无经验）+无责底薪,4-6K,大专,经验不限,长沙星跃未来网络科技,长沙,游戏,100-499人,不需要融资,芙蓉区,五一广场,28.19428,112.989361,有氛围 人事档案管理 精通人力相关法规政策 年轻化团队 招聘与配置 人力资源/管理类专业,"['五险一金', '员工旅游', '保底工资', '有无线网', '底薪加提成', '年终奖', '餐补', '绩效奖金', '全勤奖', '带薪年假']",月薪,5000.0
招人事HR（不是主播！不是主播！不是主播！,3-8K,大专,经验不限,十堰市火花思维游...,十堰,电子/硬件开发,20-99人,未融资,,,32.626816,110.80362,薪资核算 招聘与配置 人力资源/管理类专业,"['底薪加提成', '零食下午茶', '节日福利', '生日福利', '绩效奖金', '团建聚餐', '全勤奖', '有无线网']",月薪,5500.0
人事岗 上班不累 就 是 玩 手 机 到 点开溜,4-9K,初中及以下,1年以内,仪星时代,南阳,社交网络与媒体,100-499人,,,,33.019836,112.577432,招聘与配置 吃住补贴 可居家 可兼职 00后团队 可摸鱼,"['帅哥美女多', '团建聚餐', '生日福利', '节日福利', '宿舍有空调', '定期体检', '零食下午茶', '住房补贴', '股票期权', '员工旅游', '底薪加提成', '保底工资', '绩效奖金', '通讯补贴', '交通补助', '包住', '餐补', '年终奖', '全勤奖', '有无线网']",月薪,6500.0
人事专员hr,4-8K,高中,经验不限,嘉毅物业,廊坊,物业管理,0-20人,不需要融资,安次区,银河南路,39.493832,116.693454,不接受居家办公 人力/财务/行政/法务 人力资源/管理类专业,"['绩效奖金', '免费工装', '宿舍有空调', '包住', '有无线网', '餐补', '免费班车', '全勤奖', '夜班补助', '包吃', '保底工资', '住房补贴', '年终奖', '节日福利']",月薪,6000.0
招人事陪我上班/轻松上岗边玩边吃边招人~,5-10K,大专,经验不限,淮安滴水穿石智能科技,淮安,互联网,20-99人,不需要融资,清江浦区,文庙新天地,33.597003,119.045423,招聘与配置 不接受居家办公,"['保底工资', '团建聚餐', '节日福利', '五险一金', '生日福利', '年终奖', '底薪加提成', '绩效奖金', '工龄奖']",月薪,7500.0
饿了么招人事专员,4-6K,大专,1-3年,维卅生活服务,蚌埠,互联网,1000-9999人,不需要融资,蚌山区,万达广场,32.919521,117.359921,招聘与配置,"['节日福利', '保底工资', '生日福利', '全勤奖', '绩效奖金', '有无线网', '意外险']",月薪,5000.0
急聘长期人事无责4000＋提成奖金 包住,4-8K,学历不限,经验不限,石家庄耀洲网络科技,石家庄,批发/零售,20-99人,,长安区,勒泰中心,38.044246,114.510979,招聘,"['包住', '全勤奖', '绩效奖金', '保底工资', '节日福利', '年终奖', '定期体检', '团建聚餐', '宿舍有空调', '员工旅游', '零食下午茶', '底薪加提成', '生日福利']",月薪,6000.0
招人事专员 周末双休,3-8K,大专,1年以内,银企互惠,菏泽,其他生活服务,20-99人,不需要融资,牡丹区,大剧院,35.250437,115.496607,公司人力资源部门,"['团建聚餐', '节日福利', '年终奖', '有无线网', '零食下午茶', '带薪年假', '五险一金', '全勤奖', '员工旅游', '生日福利', '工龄奖']",月薪,5500.0
人事专员hr,3-5K,高中,1-3年,星伊乐传媒有限公司,自贡,文化艺术/娱乐,20-99人,不需要融资,自流井区,汇东,29.332707,104.771694,客服 互联网从业经验 培训实施 互联网运营 人力资源/管理类专业,"['底薪加提成', '保底工资']",月薪,4000.0
人事hr工厂对接,4-9K,大专,1年以内,赣州凡界科技有限公司,赣州,培训/辅导机构,0-20人,,章贡区,章江南,25.819476,114.961528,五险一金及其他福利管理 绩效考核管理 客服 互联网运营 快消/零售 销售 互联网从业经验 人力资源/管理类专业 大中型企业从业 从0到1团队搭建经验 销售人事/销售从业经验 不接受居家办公 人力资源,[],月薪,6500.0
招聘人事+单双休+无责底薪4000,4-8K,学历不限,经验不限,河北御清德生物科技,石家庄,咨询,20-99人,不需要融资,桥西区,解放广场,38.042911,114.48512,无,"['有无线网', '生日福利', '绩效奖金', '零食下午茶', '年终奖', '保底工资', '五险一金', '员工旅游', '带薪年假', '团建聚餐', '节日福利', '底薪加提成']",月薪,6000.0
人事无责5000+有人带+免费住宿,4-8K,学历不限,经验不限,石家庄昶宁电子科技,石家庄,互联网,100-499人,不需要融资,长安区,广安,38.048717,114.521896,五险一金及其他福利管理 可实习 人事档案管理 招聘与配置,"['保底工资', '底薪加提成', '宿舍有空调', '年终奖', '员工旅游', '包住', '五险一金']",月薪,6000.0
HR人事月8000,6-8K,中专/中技,经验不限,闽焕诚,厦门,其他生活服务,20-99人,未融资,集美区,侨英,24.611741,118.106411,客服 人力/财务/行政/法务 销售人事/销售从业经验 招聘与配置 人力资源/管理类专业,"['工龄奖', '年终奖', '员工旅游', '零食下午茶', '餐补', '团建聚餐', '保底工资', '全勤奖', '住房补贴', '补充医疗保险', '底薪加提成']",月薪,7000.0
招人事专员,5-6K,高中,1-3年,灏然贸易有限公司,桂林,其他生活服务,0-20人,A轮,,,25.25816,110.232549,企业文化建设 五险一金及其他福利管理 人力/财务/行政/法务 销售 互联网从业经验 人力资源/管理类专业 销售人事/销售从业经验 留学生优先 国内院校优先 接受居家办公,"['有无线网', '年终奖', '交通补助', '绩效奖金', '法定节假日三薪', '保底工资', '员工旅游', '全勤奖', '带薪年假']",月薪,5500.0
人事专员HR,4-6K,大专,经验不限,北京鸿联九五,大同,互联网,10000人以上,已上市,平城区,火车站,40.115563,113.295161,不接受居家办公,"['补充医疗保险', '加班补助', '交通补助', '住房补贴', '节日福利', '零食下午茶', '定期体检', '五险一金', '股票期权', '全勤奖', '餐补', '年终奖', '带薪年假', '通讯补贴', '过节费', '年终奖', '员工旅游']",月薪,5000.0
梦中情班-博物院附近 人事管理 包住+有晋升,4-9K,学历不限,经验不限,帕沃科技,石家庄,企业服务,100-499人,不需要融资,长安区,跃进,38.04312,114.52101,人力/财务/行政/法务,"['节日福利', '工龄奖', '定期体检', '交通补助', '底薪加提成', '绩效奖金', '生日福利', '宿舍有空调', '企业年金', '年终奖', '免费工装', '带薪年假', '包住', '保底工资', '五险一金', '零食下午茶', '团建聚餐', '有无线网', '员工旅游', '餐补']",月薪,6500.0
招人事专员缴纳五险,4-9K,大专,1年以内,北棠,海口,即时配送,1000-9999人,不需要融资,美兰区,海府,20.022689,110.344534,无,"['交通补助', '全勤奖', '节日福利', '年终奖', '工龄奖', '零食下午茶', '企业年金', '法定节假日三薪', '通讯补贴', '员工旅游', '绩效奖金', '加班补助', '带薪年假', '底薪加提成', '住房补贴', '补充医疗保险', '保底工资', '餐补', '五险一金', '社保']",月薪,6500.0
人事实习生+有人带+有晋升,4-6K,本科,经验不限,石家庄赛博立方网...,石家庄,互联网,20-99人,,桥西区,平安南大街,38.039426,114.507075,不接受居家办公 人力/财务/行政/法务 人力资源/管理类专业,['五险一金'],月薪,5000.0
4500无责 人事+单双休（有经验）,5-6K,大专,1-3年,石家庄瑞祥鸿泰企...,石家庄,检测/认证/知识产权,100-499人,未融资,桥西区,维明,38.041202,114.48372,招聘与配置,"['有无线网', '底薪加提成', '全勤奖', '带薪年假', '员工旅游', '生日福利', '零食下午茶', '保底工资', '绩效奖金', '年终奖', '工龄奖', '团建聚餐', '补充医疗保险']",月薪,5500.0
人事专员hr,4-5K,大专,1年以内,榆林鼎元商益信息咨询,榆林,互联网金融,20-99人,未融资,榆阳区,开发区,38.231304,109.757881,无,"['底薪加提成', '保底工资']",月薪,4500.0
早九晚六人事HR,6-8K,大专,经验不限,向阳东路肯德基,武汉,餐饮,20-99人,不需要融资,洪山区,卓刀泉,30.51119,114.393184,无,"['工龄奖', '法定节假日三薪', '底薪加提成', '团建聚餐', '员工旅游', '五险一金', '带薪年假', '零食下午茶']",月薪,7000.0
hr人事专员,5-6K,大专,1年以内,上海微农,兰州,互联网金融,100-499人,不需要融资,七里河区,西津东路,36.06831,103.774052,无,"['带薪年假', '全勤奖', '节日福利', '生日福利', '零食下午茶', '团建聚餐', '住房补贴']",月薪,5500.0
4500+人事,5-8K,学历不限,经验不限,小胖装卸,石家庄,装卸搬运和仓储业,20-99人,未融资,桥西区,维明,38.043133,114.495269,无,"['零食下午茶', '定期体检', '绩效奖金', '年终奖', '节日福利', '底薪加提成', '保底工资', '团建聚餐', '有无线网', '生日福利', '意外险', '五险一金']",月薪,6500.0
人事hr招聘｜法休周末休,8-13K,大专,1-3年,行知未来,合肥,检测/认证/知识产权,20-99人,未融资,包河区,滨湖万达文化旅游城,31.707832,117.272018,综合人力部门 不接受居家办公 企业服务 公司人力资源部门 金融,"['交通补助', '全勤奖', '年终奖', '五险一金']",月薪,10500.0
招聘H`R人事 工资5000起 双休不加班,5-6K,大专,1-3年,萤火虫广告,石家庄,生活服务(O2O),100-499人,天使轮,新华区,新华路,38.045486,114.480103,人事经理 薪酬体系 考核指标 人员招聘,"['底薪加提成', '节日福利', '通讯补贴', '绩效奖金', '全勤奖', '生日福利', '团建聚餐', '员工旅游', '法定节假日三薪', '带薪年假', '节假日加班费', '保底工资', '零食下午茶']",月薪,5500.0
【双休，法休】贼欢乐的人事岗,4-8K,大专,经验不限,鸿联九五,石家庄,运营商/增值服务,10000人以上,未融资,桥西区,新石,38.025242,114.44323,无,"['员工旅游', '宿舍有空调', '住房补贴', '节假日加班费', '零食下午茶', '生日福利', '五险一金', '节日福利', '餐补', '团建聚餐', '带薪年假', '夜班补助', '定期体检', '全勤奖']",月薪,6000.0
人事专员hr 接受小白,4-9K,本科,1-3年,烟台音澜文化传媒,烟台,社交网络与媒体,100-499人,未融资,福山区,福新,37.562363,121.242308,招聘与配置 人事 HR 可兼职 接受小白,"['免费工装', '餐补', '节日福利', '年终奖', '绩效奖金', '住房补贴', '宿舍有空调', '员工旅游', '交通补助', '团建聚餐', '生日福利', '包住', '零食下午茶', '有无线网', '免费班车', '全勤奖', '底薪加提成', '五险一金', '保底工资']",月薪,6500.0
人事行政专员hr,5-8K,初中及以下,经验不限,蚌埠美直团科技,蚌埠,智能硬件/消费电子,0-20人,未融资,蚌山区,宏业村,32.911695,117.399641,无,"['绩效奖金', '全勤奖', '零食下午茶', '底薪加提成']",月薪,6500.0
人事专员hr,5-7K,高中,1-3年,石家庄诚聚信息咨...,石家庄,其他专业服务,100-499人,不需要融资,桥西区,维明,38.043133,114.495269,不接受居家办公 人力/财务/行政/法务 人力资源/管理类专业,"['包住', '零食下午茶', '绩效奖金', '节日福利', '有无线网', '员工旅游', '年终奖', '团建聚餐', '企业年金', '宿舍有空调', '保底工资', '五险一金', '补充医疗保险', '底薪加提成', '带薪年假', '生日福利', '定期体检', '意外险', '全勤奖', '交通补助']",月薪,6000.0
双休五险一金人事岗,4-7K,大专,1-3年,菏泽懋勤信息咨询服务,菏泽,互联网金融,20-99人,C轮,牡丹区,汽车站,35.250437,115.496607,五险一金及其他福利管理 薪资核算 招聘与配置,"['工龄奖', '生日福利', '底薪加提成', '年终奖', '带薪年假', '零食下午茶', '五险一金', '保底工资', '绩效奖金', '节日福利', '通讯补贴', '团建聚餐', '全勤奖', '有无线网', '员工旅游']",月薪,5500.0
办公室坐班人事岗工作轻松,4-9K,中专/中技,经验不限,科存公司,合肥,新能源汽车,500-999人,不需要融资,瑶海区,双七路,31.876819,117.33701,无,"['工龄奖', '全勤奖', '底薪加提成', '员工旅游', '加班补助', '团建聚餐', '绩效奖金', '住房补贴', '生日福利', '宿舍有空调', '保底工资', '餐补', '交通补助', '带薪年假', '年终奖', '节日福利', '夜班补助', '有无线网', '五险一金', '零食下午茶']",月薪,6500.0
人事专员  周末双休 五险,4-7K,大专,经验不限,好拜访,石家庄,其他消费品,20-99人,不需要融资,新华区,新华路,38.045225,114.481158,无,['五险一金'],月薪,5500.0
人事行政专员HR,3-6K,学历不限,经验不限,石家庄嘉鸿文化传媒,石家庄,文化艺术/娱乐,0-20人,,长安区,谈固,38.04294,114.555962,招聘与配置,[],月薪,4500.0
人事专员+双休法休+早九晚六+保底4-6k,4-5K,学历不限,1年以内,慧融信息咨询,石家庄,互联网金融,100-499人,,裕华区,谈固,38.024871,114.547283,无,"['员工旅游', '节日福利', '通讯补贴', '团建聚餐', '零食下午茶', '带薪年假', '生日福利', '全勤奖']",月薪,4500.0
人事专员hr,4-6K,大专,1-3年,鸿与依,周口,物流/仓储,20-99人,未融资,川汇区,周口师范大学,33.63692,114.683466,人力/财务/行政/法务,[],月薪,5000.0
招几个唠嗑姐妹人事,4-7K,学历不限,经验不限,河北尚泽教育科技,石家庄,职业培训,100-499人,,长安区,谈固,38.045463,114.545218,教育,[],月薪,5500.0
【作业帮】人事专员hr,6-9K,本科,1年以内,作业帮,武汉,互联网,10000人以上,D轮及以上,江夏区,流芳,30.464039,114.403404,互联网从业经验 五险一金 不接受居家办公 五险一金及其他福利管理 大中型企业从业 晋升渠道 人力/财务/行政/法务 招聘与配置 人力资源/管理类专业 固定双休,"['有无线网', '补充医疗保险', '定期体检', '餐补', '法定节假日三薪', '股票期权', '节假日加班费', '包吃', '节日福利', '意外险', '团建聚餐', '交通补助', '年终奖', '五险一金', '带薪年假']",月薪,7500.0
人事专员hr,5-7K,大专,1-3年,千播传媒,菏泽,文化艺术/娱乐,100-499人,天使轮,牡丹区,康庄,35.258074,115.467004,客服 考勤管理 不接受居家办公 销售人事/销售从业经验 薪资核算 人事档案管理 制度制定及落地优化 销售 招聘与配置 人力资源/管理类专业,"['节日福利', '底薪加提成', '五险一金', '团建聚餐', '全勤奖', '包住', '有无线网', '宿舍有空调', '保底工资', '生日福利', '零食下午茶']",月薪,6000.0
人事招聘+纯文职,4-5K,学历不限,1年以内,颂冠律师事务所,石家庄,法律,100-499人,不需要融资,长安区,谈固,38.043913,114.548895,不接受居家办公,"['团建聚餐', '全勤奖', '免费工装', '底薪加提成', '生日福利', '节日福利']",月薪,4500.0
招人事专员,4-5K,本科,1-3年,聊城君康堂中医馆...,聊城,医疗服务,20-99人,不需要融资,东昌府区,开发区,36.459968,116.035492,无,"['节日福利', '底薪加提成', '绩效奖金', '团建聚餐', '生日福利', '全勤奖', '零食下午茶', '有无线网', '宿舍有空调', '包住']",月薪,4500.0
